HIVE,DATETIME,OUT,IN,LATERAL,TOTAL,MEAN_WEIGHT
4_17,2021-08-15_16-00,232,231,49,512,67.83115685
4_17,2021-08-15_16-15,168,187,32,387,67.88396861
4_17,2021-08-15_16-30,194,211,30,435,67.93970275
4_17,2021-08-15_16-45,139,159,38,336,67.97978124
4_17,2021-08-15_17-00,112,122,13,247,68.03154928
4_17,2021-08-15_17-15,139,146,22,307,68.06056444
4_17,2021-08-15_17-30,149,179,35,363,68.1490711
4_17,2021-08-15_17-45,117,155,28,300,68.17558135
4_17,2021-08-15_18-00,106,126,22,254,68.2363253
4_17,2021-08-15_18-15,105,125,16,246,68.36240554
4_17,2021-08-15_18-30,94,110,17,221,68.50810754
4_17,2021-08-15_18-45,109,103,13,225,68.60892999
4_17,2021-08-15_19-00,142,146,20,308,68.68345092
4_17,2021-08-15_19-15,76,89,8,173,68.75734564
4_17,2021-08-15_19-30,141,149,20,310,68.86380412
4_17,2021-08-15_19-45,71,108,16,195,68.94479606
4_17,2021-08-15_20-00,135,158,18,311,68.98529203
4_17,2021-08-15_20-15,149,134,20,303,68.98529203
4_17,2021-08-16_07-00,2,3,0,5,68.60392018
4_17,2021-08-16_07-15,39,19,7,65,68.49097817
4_17,2021-08-16_07-30,18,29,1,48,68.46446792
4_17,2021-08-16_07-45,16,25,6,47,68.41269987
4_17,2021-08-16_08-00,40,47,5,92,68.42273202
4_17,2021-08-16_08-15,138,128,23,289,68.36847159
4_17,2021-08-16_08-30,61,83,17,161,68.24197387
4_17,2021-08-16_08-45,61,76,9,146,68.12987935
4_17,2021-08-16_09-00,47,75,13,135,68.05953325
4_17,2021-08-16_09-15,35,31,11,77,68.03072684
4_17,2021-08-16_09-30,38,60,9,107,68.0146537
4_17,2021-08-16_09-45,57,49,8,114,68.00755646
4_17,2021-08-16_10-00,50,42,3,95,68.00839143
4_17,2021-08-16_10-15,57,40,11,108,68.04346011
4_17,2021-08-16_10-30,226,251,31,508,68.07769382
4_17,2021-08-16_10-45,548,621,84,1253,68.10545652
4_17,2021-08-16_11-00,560,568,107,1235,68.13092306
4_17,2021-08-16_11-15,667,684,100,1451,68.15722456
4_17,2021-08-16_11-30,414,435,66,915,68.19083205
4_17,2021-08-16_11-45,58,66,10,134,68.21024506
4_17,2021-08-16_12-00,85,108,16,209,68.24197387
4_17,2021-08-16_12-15,87,98,26,211,68.26201311
4_17,2021-08-16_12-30,74,119,22,215,68.09961174
4_17,2021-08-16_12-45,101,115,14,230,68.03970275
4_17,2021-08-16_13-00,50,88,10,148,68.07205778
4_17,2021-08-16_13-15,89,91,25,205,68.11171878
4_17,2021-08-16_13-30,60,99,8,167,68.15033607
4_17,2021-08-16_13-45,121,137,37,295,68.15618085
4_17,2021-08-16_14-00,112,143,19,274,68.20210412
4_17,2021-08-16_14-15,128,182,30,340,68.22276959
4_17,2021-08-16_14-30,53,67,8,128,68.26911034
4_17,2021-08-16_14-45,121,156,31,308,68.31524235
4_17,2021-08-16_15-00,77,102,15,194,68.3695153
4_17,2021-08-16_15-15,109,145,36,290,68.38266605
4_17,2021-08-16_15-30,111,155,16,282,68.38955454
4_17,2021-08-16_15-45,76,115,21,212,68.41022001
4_17,2021-08-16_16-00,88,99,19,206,68.45614328
4_17,2021-08-16_16-15,98,119,15,232,68.48286227
4_17,2021-08-16_16-30,113,127,30,270,68.54903352
4_17,2021-08-16_16-45,85,85,8,178,68.62167578
4_17,2021-08-16_17-00,66,85,17,168,68.68116729
4_17,2021-08-16_17-15,67,84,18,169,68.7417025
4_17,2021-08-16_17-30,65,92,6,163,68.80328143
4_17,2021-08-16_17-45,71,94,12,177,68.84565608
4_17,2021-08-16_18-00,54,60,13,127,68.91182733
4_17,2021-08-16_18-15,67,76,6,149,68.95942053
4_17,2021-08-16_18-30,30,22,10,62,69.03268902
4_17,2021-08-16_18-45,51,40,15,106,69.10637498
4_17,2021-08-16_19-00,42,62,6,110,69.20844988
4_17,2021-08-16_19-15,37,54,13,104,69.30217509
4_17,2021-08-16_19-30,30,39,9,78,69.35957918
4_17,2021-08-16_19-45,53,58,10,121,69.37899219
4_17,2021-08-16_20-00,52,49,3,104,69.38024465
4_17,2021-08-16_20-15,50,41,3,94,69.36855509
